rep_id,territory_score,demos_given,proposals_sent,crm_usage,calls_made,training_completed,revenue,quota_hit
REP0132,2.2,6,5,0,23,4,27331.01,0
REP0133,6.3,10,4,11,33,3,50899.0,1
REP0134,4.6,8,3,7,31,1,31256.8,0
REP0135,2.1,5,2,1,22,0,15567.14,0
REP0136,3.0,7,5,0,25,1,35132.3,0
REP0137,5.6,4,6,12,34,3,45348.54,1
REP0138,6.7,6,5,6,36,1,39693.06,0
REP0139,9.0,5,3,20,29,2,53460.28,1
REP0140,10.0,7,8,31,39,2,69713.75,1
REP0141,5.8,5,5,9,43,1,49713.72,1
REP0142,3.0,7,5,6,17,2,33323.87,0
REP0143,1.0,7,4,1,37,0,17825.52,0
REP0144,5.5,11,4,2,20,3,49020.71,1
REP0145,3.4,3,4,1,20,5,23415.3,0
REP0146,4.2,5,1,4,18,4,33021.87,0
REP0147,3.8,7,3,4,46,2,33105.88,0
REP0148,4.7,2,2,7,20,3,26115.29,0
REP0149,7.1,10,6,11,32,4,61486.85,1
REP0150,5.3,7,5,8,25,2,39231.65,0
REP0151,4.7,7,3,7,26,4,30285.15,0
REP0152,2.9,7,2,2,22,3,29256.53,0
REP0153,1.7,4,3,0,19,2,14604.18,0
REP0154,4.0,5,2,3,0,2,23109.49,0
REP0155,4.9,12,1,4,31,2,44253.52,1
REP0156,8.5,7,3,10,34,2,54768.76,1
REP0157,5.3,6,4,13,36,1,33773.05,0
REP0158,7.0,7,6,10,44,3,50266.24,1
REP0159,4.0,4,2,5,21,1,22486.98,0
REP0160,2.6,8,2,2,35,1,36402.05,0
REP0161,3.1,5,4,2,17,0,34309.12,0
REP0162,3.5,5,3,2,31,0,27093.97,0
REP0163,9.3,13,3,18,33,2,66908.73,1
REP0164,3.4,3,3,1,11,0,18647.98,0
REP0165,6.7,10,2,10,29,4,43344.68,1
REP0166,3.2,7,3,3,39,2,31300.9,0
REP0167,6.9,5,9,22,38,0,59713.74,1
REP0168,5.8,5,3,12,42,1,37592.31,0
REP0169,4.7,7,5,7,23,3,42986.96,1
REP0170,4.9,6,4,10,38,1,39065.58,0
REP0171,3.7,4,8,3,23,2,39943.81,0
REP0172,5.9,5,7,8,34,2,47087.85,1
REP0173,4.1,8,5,4,31,1,38728.81,0
REP0174,2.5,6,3,2,31,2,27854.84,0
REP0175,2.4,7,4,1,29,5,32330.58,0
REP0176,5.3,6,4,16,23,3,41372.5,1
REP0177,8.2,4,4,20,38,4,42739.74,1
REP0178,5.3,6,3,7,42,1,32785.29,0
REP0179,4.8,12,4,8,27,1,49045.3,1
REP0180,5.6,5,6,11,17,0,52144.98,1
REP0181,7.6,12,9,21,45,2,71710.09,1
REP0182,5.4,7,9,7,30,1,52696.72,1
REP0183,4.2,9,7,3,31,3,48834.28,1
REP0184,7.2,4,1,18,31,0,31666.2,0
REP0185,5.9,5,6,13,29,2,52474.77,1
REP0186,8.1,8,3,13,31,1,52719.02,1
REP0187,5.4,5,4,5,27,0,35618.59,0
REP0188,2.6,8,3,0,38,4,28870.27,0
REP0189,2.3,6,3,0,23,0,22919.55,0
REP0190,8.3,2,5,14,23,5,55265.77,1
REP0191,8.4,6,1,17,20,3,44278.13,1
REP0192,4.6,8,8,12,34,0,51340.68,1
REP0193,4.2,5,6,7,20,1,42303.13,1
REP0194,7.9,5,3,16,16,0,42987.72,1
REP0195,2.8,8,2,1,31,4,29112.18,0
REP0196,3.2,6,5,3,34,2,35714.36,0
REP0197,6.3,8,2,12,24,3,34376.22,0
REP0198,4.2,7,2,6,29,5,33606.64,0
REP0199,5.0,7,4,9,31,4,40230.21,1
REP0200,4.7,1,4,7,31,4,30842.29,0
REP0201,5.7,5,2,8,33,3,35378.74,0
REP0202,7.8,7,4,11,10,1,53055.7,1
REP0203,5.2,8,0,11,27,1,39411.4,0
REP0204,6.3,11,2,15,34,0,40753.97,1
REP0205,1.0,10,4,0,21,0,26887.86,0
REP0206,4.9,4,3,9,28,4,36443.35,0
REP0207,3.3,5,1,0,31,2,25658.79,0
REP0208,2.6,4,8,0,29,3,38546.52,0
REP0209,3.2,2,2,5,41,1,34742.67,0
REP0210,4.3,5,3,6,38,0,35397.69,0
REP0211,6.8,3,3,19,30,3,44981.91,1
REP0212,2.3,8,1,0,21,4,22353.5,0
REP0213,5.1,4,8,6,4,6,41280.49,1
REP0214,4.0,3,8,4,26,0,39055.06,0
REP0215,4.3,8,4,4,18,0,42938.42,1
REP0216,7.0,3,4,13,33,5,44556.2,1
REP0217,6.1,5,4,7,32,3,43821.18,1
REP0218,7.7,8,1,18,37,4,44127.46,1
REP0219,4.7,7,7,9,43,2,44894.94,1
REP0220,3.6,8,3,5,26,4,33033.17,0
REP0221,4.6,8,4,6,51,1,43831.51,1
REP0222,5.5,6,4,5,33,4,45143.61,1
REP0223,5.4,5,8,7,19,1,43881.38,1
REP0224,2.8,9,2,3,22,2,33636.61,0
REP0225,5.2,3,5,7,24,3,34470.31,0
REP0226,5.5,5,3,10,34,2,39170.43,0
REP0227,10.0,4,1,18,23,3,47679.96,1
REP0228,8.8,2,2,19,30,1,50843.7,1
REP0229,3.3,5,8,2,27,2,38583.68,0
REP0230,4.4,6,2,6,22,3,32593.99,0
REP0231,2.1,8,6,0,36,3,38325.43,0
REP0232,3.8,4,5,2,31,1,29404.55,0
REP0233,5.6,7,3,11,40,4,40160.55,1
REP0234,7.4,6,2,13,27,1,42313.9,1
REP0235,3.5,8,3,5,37,3,31098.26,0
REP0236,3.7,3,2,3,10,2,22068.21,0
REP0237,1.0,5,5,2,12,1,28381.76,0
REP0238,4.7,7,3,7,16,1,33705.92,0
REP0239,2.9,4,5,2,27,1,32832.72,0
REP0240,3.9,9,5,7,41,2,43337.46,1
REP0241,3.2,5,6,2,20,2,28500.21,0
REP0242,4.8,3,2,5,22,3,31341.75,0
REP0243,1.5,2,3,2,16,0,9370.61,0
REP0244,2.1,5,0,0,27,1,18904.1,0
REP0245,9.3,1,0,23,23,1,35998.02,0
REP0246,2.4,11,3,0,22,4,33742.46,0
REP0247,2.8,7,3,1,11,1,22754.32,0
REP0248,8.7,6,2,18,27,2,49307.22,1
REP0249,10.0,3,7,31,50,1,69875.29,1
REP0250,2.7,7,2,1,24,1,22092.64,0
REP0251,4.3,5,4,7,19,4,31518.17,0
REP0252,5.7,9,3,9,42,0,46005.55,1
REP0253,8.5,5,6,13,30,1,58727.67,1
REP0254,3.0,5,3,3,33,2,14934.25,0
REP0255,4.5,6,4,3,44,4,47114.81,1
REP0256,6.6,5,5,22,33,1,48861.47,1
REP0257,5.9,6,2,14,16,2,40962.72,1
REP0258,4.2,8,7,8,52,2,45773.05,1
REP0259,4.7,2,4,2,26,1,22652.65,0
REP0260,2.3,7,5,1,24,2,35374.44,0
REP0261,4.5,4,5,9,35,1,33768.67,0
REP0262,4.5,4,1,7,32,1,29088.56,0
REP0263,5.5,11,3,6,42,4,44763.35,1
REP0264,3.9,6,4,1,22,1,35747.58,0
REP0265,5.9,9,3,7,32,0,40897.33,1
REP0266,7.0,6,4,15,22,1,51423.67,1
REP0267,5.3,5,4,16,32,3,32801.54,0
REP0268,5.7,6,6,4,35,2,58041.9,1
REP0269,5.1,2,3,13,32,3,42114.99,1
REP0270,5.0,9,4,5,32,2,51664.17,1
REP0271,3.6,5,2,5,24,1,33104.93,0
REP0272,5.6,5,4,5,21,2,39609.21,0
REP0273,4.8,2,2,7,34,3,33054.44,0
REP0274,9.2,6,0,23,44,1,45264.46,1
REP0275,8.1,7,5,14,27,3,47819.25,1
REP0276,5.8,2,5,13,36,2,46102.78,1
REP0277,3.5,6,3,5,32,4,36039.66,0
REP0278,2.8,1,4,2,23,2,22444.01,0
REP0279,7.4,8,3,17,16,3,42903.22,1
REP0280,5.5,6,4,14,17,4,38170.99,0
REP0281,6.0,6,8,15,23,5,43735.42,1
REP0282,1.5,6,4,1,6,1,29768.72,0
REP0283,6.9,2,3,12,38,0,29902.96,0
REP0284,5.9,3,7,10,35,6,47069.52,1
REP0285,2.8,5,6,0,25,0,29398.09,0
REP0286,4.1,5,3,4,4,1,24094.28,0
REP0287,5.5,10,4,11,15,0,48301.51,1
REP0288,5.1,6,4,8,28,1,37750.74,0
REP0289,4.4,3,3,5,45,4,33853.58,0
REP0290,4.8,5,2,6,18,3,25334.07,0
REP0291,4.5,13,3,6,37,0,41197.61,1
REP0292,5.3,4,0,16,16,2,15282.29,0
REP0293,7.9,10,2,18,30,1,40850.2,1
REP0294,1.0,6,7,1,38,0,34957.69,0
REP0295,4.5,10,4,2,31,4,53523.19,1
REP0296,5.4,5,5,6,23,2,41875.73,1
REP0297,5.6,6,5,13,42,4,39748.81,0
REP0298,4.3,8,2,6,27,0,32532.44,0
REP0299,1.5,6,3,1,34,1,26814.1,0
REP0300,5.7,7,1,11,20,3,33052.02,0
REP0301,8.5,4,6,27,47,0,56006.97,1
REP0302,1.9,6,5,0,28,0,29165.33,0
REP0303,6.7,8,6,14,37,0,51066.56,1
REP0304,4.3,4,5,9,28,4,33240.83,0
REP0305,4.9,6,2,9,23,1,34976.01,0
REP0306,2.9,8,3,2,24,3,26192.37,0
REP0307,4.3,3,5,6,24,1,36583.0,0
REP0308,7.6,6,3,17,39,1,44542.46,1
REP0309,6.2,4,2,9,26,0,36298.08,0
REP0310,8.5,9,4,15,24,2,64278.31,1
REP0311,7.4,3,5,17,16,2,45578.33,1
REP0312,5.9,7,2,14,15,2,43611.72,1
REP0313,8.5,4,4,18,35,1,40991.31,1
REP0314,5.9,7,1,14,17,0,34160.13,0
REP0315,6.7,9,4,10,35,2,50262.35,1
REP0316,4.4,11,7,4,38,2,61244.09,1
REP0317,5.1,5,6,6,26,0,33232.61,0
REP0318,3.6,7,5,1,32,4,36939.56,0
REP0319,7.0,14,0,8,36,2,56200.12,1
REP0320,2.6,5,1,0,0,1,16648.47,0
REP0321,6.6,6,2,14,26,5,39194.61,0
REP0322,4.6,9,8,6,38,2,53633.49,1
REP0323,7.3,7,4,13,48,1,50792.52,1
REP0324,6.5,9,3,9,49,3,54835.8,1
REP0325,8.6,10,5,21,25,0,64307.54,1
REP0326,6.5,6,2,18,28,1,46485.06,1
REP0327,1.9,4,6,0,10,0,26623.64,0
REP0328,4.9,6,3,9,40,2,32261.75,0
REP0329,2.7,2,5,1,33,0,24995.33,0
REP0330,4.0,5,4,6,28,1,27558.25,0
REP0331,8.0,6,7,16,38,0,61007.39,1
REP0332,6.3,5,2,11,40,1,35670.88,0
REP0333,3.6,9,2,3,36,2,29549.61,0
REP0334,3.0,4,4,1,36,1,30383.55,0
REP0335,5.1,8,2,6,30,2,31543.68,0
REP0336,2.6,6,4,0,23,1,33120.03,0
REP0337,3.7,5,4,3,32,1,29739.19,0
REP0338,5.6,10,5,12,42,0,55791.56,1
REP0339,7.3,6,2,19,28,4,41278.81,1
REP0340,6.2,4,5,10,28,5,46529.64,1
REP0341,1.0,3,4,0,31,1,17067.5,0
REP0342,5.6,4,4,10,45,1,42154.44,1
REP0343,5.1,8,6,9,25,0,48126.0,1
REP0344,5.8,9,4,9,26,3,38494.14,0
REP0345,8.2,5,5,21,38,4,57973.65,1
REP0346,1.0,3,5,2,26,3,20055.68,0
REP0347,3.8,10,2,5,24,2,39218.75,0
REP0348,6.2,5,8,10,51,3,55678.48,1
REP0349,1.8,4,2,0,24,1,14480.76,0
REP0350,8.0,3,4,14,34,3,41733.62,1
REP0351,5.7,4,6,13,47,3,47223.63,1
REP0352,6.7,0,4,14,23,2,35256.43,0
REP0353,3.9,4,4,6,27,1,36114.6,0
REP0354,6.6,3,7,10,20,0,47619.1,1
REP0355,7.1,6,4,17,32,2,52664.82,1
REP0356,5.5,8,3,12,17,3,43479.55,1
REP0357,5.5,6,3,4,36,1,39815.08,0
REP0358,5.5,6,2,12,31,1,34292.69,0
REP0359,3.3,3,3,7,22,1,26255.38,0
REP0360,4.7,6,5,8,30,0,46284.03,1
REP0361,4.7,7,4,8,36,1,39008.74,0
REP0362,5.8,3,3,7,18,3,37723.02,0
REP0363,7.0,8,2,7,33,1,45230.39,1
REP0364,2.9,6,5,0,33,2,33654.73,0
REP0365,4.7,7,4,6,16,1,48116.98,1
REP0366,8.0,6,2,10,39,1,51860.29,1
REP0367,3.5,9,5,3,14,1,40448.31,1
REP0368,3.4,3,3,3,23,2,26494.27,0
REP0369,5.4,8,5,11,19,4,42609.1,1
REP0370,6.7,6,7,12,46,1,52390.22,1
REP0371,5.0,5,1,13,16,3,31638.4,0
REP0372,7.7,8,3,13,19,1,54384.75,1
REP0373,6.7,6,5,14,34,0,52100.46,1
REP0374,6.7,6,3,16,24,1,37688.27,0
REP0375,6.1,5,5,9,19,0,49317.85,1
REP0376,9.7,11,4,19,42,5,64677.36,1
REP0377,4.6,7,3,6,8,3,31423.75,0
REP0378,1.0,6,2,0,14,1,24653.75,0
REP0379,8.2,5,4,18,30,1,57650.43,1
REP0380,4.1,10,3,6,36,1,40157.14,1
REP0381,5.2,12,5,11,46,0,54907.01,1
REP0382,7.6,2,4,16,41,3,47313.65,1
REP0383,1.8,8,3,1,25,1,33660.78,0
REP0384,2.5,7,5,0,6,0,36627.16,0
REP0385,1.8,5,8,0,28,1,28051.34,0
REP0386,3.4,4,1,3,40,1,32195.95,0
REP0387,5.9,6,3,17,42,0,45345.38,1
REP0388,6.0,4,6,10,34,2,42645.88,1
REP0389,5.6,5,4,11,16,1,34562.07,0
REP0390,2.2,6,5,1,22,2,32721.94,0
REP0391,1.0,4,5,0,39,0,18627.87,0
REP0392,5.1,3,4,11,15,4,36584.81,0
REP0393,4.1,7,1,8,16,5,32942.83,0
REP0394,5.9,7,8,12,41,3,51342.88,1
REP0395,6.4,2,3,13,22,2,30535.09,0
REP0396,5.3,5,2,10,17,1,35535.02,0
REP0397,6.5,4,0,8,39,1,29414.13,0
REP0398,5.5,3,6,8,34,4,42064.17,1
REP0399,6.1,4,5,8,24,2,36023.89,0
REP0400,3.6,7,4,2,16,3,33601.7,0
